date,temperature,month,seasons,rain,sunlight,wind,mood,walk,temperature_category,wind_category,mood_category
2020-01-01,1,Jan,Winter,0,1,23,-31,1,cold,4 moderate breeze,0 very bad
2020-01-02,-9,Jan,Winter,0,1,21,-22,0,very cold,4 moderate breeze,1 bad
2020-01-03,2,Jan,Winter,0,1,20,-22,1,cold,3 gentle breeze,1 bad
2020-01-04,-2,Jan,Winter,0,1,22,-24,0,very cold,4 moderate breeze,1 bad
2020-01-05,0,Jan,Winter,0,1,15,15,1,very cold,3 gentle breeze,3 good
2020-01-06,-4,Jan,Winter,0,1,15,9,1,very cold,3 gentle breeze,2 okish
2020-01-07,0,Jan,Winter,1,0,41,-52,0,very cold,6 strong breeze,0 very bad
2020-01-08,3,Jan,Winter,0,1,11,16,1,cold,2 light breeze,3 good
2020-01-09,-2,Jan,Winter,0,1,25,-33,0,very cold,4 moderate breeze,0 very bad
2020-01-10,-2,Jan,Winter,0,1,11,16,1,very cold,2 light breeze,3 good
2020-01-11,4,Jan,Winter,0,1,17,18,1,cold,3 gentle breeze,3 good
2020-01-12,-4,Jan,Winter,0,1,29,-15,1,very cold,5 fresh breeze,1 bad
2020-01-13,-10,Jan,Winter,0,1,32,-36,1,very cold,5 fresh breeze,0 very bad
2020-01-14,-3,Jan,Winter,0,1,19,11,1,very cold,3 gentle breeze,3 good
2020-01-15,1,Jan,Winter,0,1,19,11,1,cold,3 gentle breeze,3 good
2020-01-16,-4,Jan,Winter,0,1,22,-24,0,very cold,4 moderate breeze,1 bad
2020-01-17,-2,Jan,Winter,0,1,31,-31,0,very cold,5 fresh breeze,0 very bad
2020-01-18,3,Jan,Winter,0,1,23,-26,1,cold,4 moderate breeze,0 very bad
2020-01-19,-9,Jan,Winter,0,1,23,-29,1,very cold,4 moderate breeze,0 very bad
2020-01-20,-4,Jan,Winter,0,1,21,-25,0,very cold,4 moderate breeze,0 very bad
2020-01-21,-9,Jan,Winter,0,1,19,19,1,very cold,3 gentle breeze,3 good
2020-01-22,2,Jan,Winter,0,1,10,21,1,cold,2 light breeze,3 good
2020-01-23,3,Jan,Winter,0,1,17,20,1,cold,3 gentle breeze,3 good
2020-01-24,-7,Jan,Winter,0,1,23,-28,1,very cold,4 moderate breeze,0 very bad
2020-01-25,3,Jan,Winter,1,0,47,-42,0,cold,6 strong breeze,0 very bad
2020-01-26,-4,Jan,Winter,0,1,20,-30,1,very cold,3 gentle breeze,0 very bad
2020-01-27,-3,Jan,Winter,0,1,21,-28,1,very cold,4 moderate breeze,0 very bad
2020-01-28,-1,Jan,Winter,0,1,20,-24,0,very cold,3 gentle breeze,1 bad
2020-01-29,4,Jan,Winter,0,1,21,-19,0,cold,4 moderate breeze,1 bad
2020-01-30,-2,Jan,Winter,0,1,30,-22,0,very cold,5 fresh breeze,1 bad
2020-01-31,3,Jan,Winter,0,1,20,-17,1,cold,3 gentle breeze,1 bad
2020-02-01,3,Feb,Winter,0,1,21,-18,0,cold,4 moderate breeze,1 bad
2020-02-02,5,Feb,Winter,0,1,18,15,1,cold,3 gentle breeze,3 good
2020-02-03,0,Feb,Winter,0,1,15,18,1,very cold,3 gentle breeze,3 good
2020-02-04,-4,Feb,Winter,0,1,29,-20,1,very cold,5 fresh breeze,1 bad
2020-02-05,0,Feb,Winter,0,1,12,6,1,very cold,3 gentle breeze,2 okish
2020-02-06,6,Feb,Winter,0,1,20,-23,1,cold,3 gentle breeze,1 bad
2020-02-07,6,Feb,Winter,0,1,30,-24,1,cold,5 fresh breeze,1 bad
2020-02-08,-1,Feb,Winter,0,1,31,-27,0,very cold,5 fresh breeze,0 very bad
