date,temperature,rain,sunlight,wind,mood,walk
2024-01-01,4,0,1,15,-5,0
2024-01-02,1,0,1,13,-12,0
2024-01-03,4,1,0,32,-46,0
2024-01-04,3,0,1,13,-20,0
2024-01-05,4,0,1,14,-22,0
2024-01-06,3,0,1,17,-18,0
2024-01-07,4,0,1,16,-16,1
2024-01-08,1,0,1,20,-22,1
2024-01-09,3,0,1,15,-16,0
2024-01-10,2,0,1,14,-26,0
2024-01-11,3,1,0,36,-39,1
2024-01-12,4,0,1,17,-10,0
2024-01-13,3,1,0,38,-40,0
2024-01-14,3,0,1,13,-19,1
2024-01-15,0,0,1,14,-15,0
2024-01-16,2,1,0,35,-44,0
2024-01-17,4,0,1,18,-12,1
2024-01-18,1,0,1,12,-5,0
2024-01-19,0,0,1,19,-12,1
2024-01-20,3,0,1,17,-20,1
2024-01-21,4,0,1,12,-4,1
2024-01-22,2,0,1,13,-16,0
2024-01-23,3,0,1,16,-12,0
2024-01-24,0,0,1,12,-13,1
2024-01-25,1,0,1,20,-13,0
2024-01-26,3,0,1,16,-5,0
2024-01-27,2,1,0,25,-43,0
2024-01-28,2,0,1,16,-13,0
2024-01-29,1,0,1,14,-6,1
2024-01-30,2,0,1,18,-21,1
2024-01-31,1,0,1,17,-22,0
2024-02-01,1,1,0,32,-48,0
2024-02-02,3,0,1,16,-15,1
2024-02-03,6,0,1,18,-15,1
2024-02-04,6,0,1,17,-23,0
2024-02-05,5,0,1,13,-20,0
2024-02-06,5,0,1,16,-9,0
2024-02-07,2,0,1,15,-12,0
2024-02-08,1,0,1,18,-15,0
2024-02-09,3,0,1,10,-26,0
2024-02-10,1,0,1,12,-21,1
2024-02-11,4,1,0,37,-53,0
2024-02-12,2,0,1,15,-17,1
2024-02-13,3,0,1,19,-6,0
2024-02-14,3,0,1,12,-6,0
2024-02-15,2,0,1,13,-16,0
2024-02-16,3,0,1,14,-7,1
2024-02-17,4,0,1,16,-9,1
2024-02-18,5,0,1,16,-16,1
2024-02-19,5,0,1,12,-24,1
2024-02-20,4,0,1,12,-19,0
2024-02-21,4,0,1,15,-22,1
2024-02-22,3,0,1,18,-23,0
2024-02-23,6,0,1,16,-8,0
2024-02-24,2,0,1,19,-16,0
2024-02-25,5,0,1,19,-8,1
2024-02-26,1,0,1,13,-15,1
2024-02-27,3,0,1,10,-15,0
2024-02-28,1,0,1,10,-18,1
2024-02-29,1,1,0,39,-44,0
2024-03-01,2,1,0,35,-41,0
2024-03-02,7,0,1,12,-22,0
2024-03-03,2,0,1,15,-17,0
2024-03-04,6,0,1,13,-25,1
2024-03-05,8,1,0,34,-47,0
2024-03-06,7,0,1,16,-15,0
