date,temperature,rain,sunlight,wind,mood,walk
2025-03-01,9,0,1,11,-22,
2025-03-02,8,0,1,12,-13,
2025-03-03,2,0,1,16,-17,
2025-03-04,7,0,1,14,-17,
2025-03-05,6,0,1,13,-21,
2025-03-06,7,0,1,14,-19,
2025-03-07,6,0,1,14,-22,
2025-03-08,6,0,1,13,-10,
2025-03-09,4,0,1,19,-11,
2025-03-10,9,0,1,12,-21,
2025-03-11,5,0,1,19,-16,
2025-03-12,10,1,0,38,-38,
2025-03-13,4,0,1,17,-23,
2025-03-14,6,1,0,32,-40,
2025-03-15,4,0,1,11,-15,
2025-03-16,3,1,0,34,-53,
2025-03-17,4,0,1,12,-15,
2025-03-18,10,1,0,36,-56,
2025-03-19,4,0,1,15,-13,
2025-03-20,9,0,1,13,-4,
2025-03-21,3,0,1,13,-11,
2025-03-22,5,1,0,36,-52,
2025-03-23,8,0,1,17,-16,
2025-03-24,8,0,1,13,-21,
2025-03-25,8,0,1,17,-20,
2025-03-26,6,0,1,17,-11,
2025-03-27,8,0,1,13,-14,
2025-03-28,9,1,0,37,-56,
2025-03-29,3,1,0,34,-44,
2025-03-30,3,0,1,17,-10,
2025-03-31,9,0,1,14,-15,
