date,temperature,month,seasons,rain,sunlight,wind,mood,walk,temperature_category,wind_category,mood_category
2020-01-01,-8,Jan,Winter,1,0,53,-50,0,very cold,6 strong breeze,0 very bad
2020-01-02,3,Jan,Winter,0,1,18,20,1,cold,3 gentle breeze,3 good
2020-01-03,3,Jan,Winter,0,1,25,-21,0,cold,4 moderate breeze,1 bad
2020-01-04,2,Jan,Winter,0,1,10,6,1,cold,2 light breeze,2 okish
2020-01-05,0,Jan,Winter,0,1,27,-25,0,very cold,4 moderate breeze,0 very bad
2020-01-06,2,Jan,Winter,0,1,31,-25,1,cold,5 fresh breeze,0 very bad
2020-01-07,0,Jan,Winter,0,1,16,25,1,very cold,3 gentle breeze,3 good
2020-01-08,2,Jan,Winter,0,1,18,15,1,cold,3 gentle breeze,3 good
2020-01-09,1,Jan,Winter,0,1,31,-25,0,cold,5 fresh breeze,0 very bad
2020-01-10,1,Jan,Winter,1,0,35,-45,0,cold,5 fresh breeze,0 very bad
2020-01-11,-2,Jan,Winter,0,1,22,-28,1,very cold,4 moderate breeze,0 very bad
2020-01-12,1,Jan,Winter,0,1,30,-31,0,cold,5 fresh breeze,0 very bad
2020-01-13,-3,Jan,Winter,0,1,25,-15,1,very cold,4 moderate breeze,1 bad
2020-01-14,-4,Jan,Winter,0,1,14,8,1,very cold,3 gentle breeze,2 okish
2020-01-15,-2,Jan,Winter,0,1,18,21,1,very cold,3 gentle breeze,3 good
2020-01-16,-1,Jan,Winter,0,1,15,16,1,very cold,3 gentle breeze,3 good
2020-01-17,-8,Jan,Winter,0,1,21,-23,0,very cold,4 moderate breeze,1 bad
2020-01-18,-7,Jan,Winter,0,1,26,-17,1,very cold,4 moderate breeze,1 bad
2020-01-19,-1,Jan,Winter,0,1,18,11,1,very cold,3 gentle breeze,3 good
2020-01-20,-8,Jan,Winter,0,1,24,-30,0,very cold,4 moderate breeze,0 very bad
2020-01-21,3,Jan,Winter,0,1,24,-30,0,cold,4 moderate breeze,0 very bad
2020-01-22,-2,Jan,Winter,0,1,23,-23,0,very cold,4 moderate breeze,1 bad
2020-01-23,4,Jan,Winter,0,1,22,-26,0,cold,4 moderate breeze,0 very bad
2020-01-24,-8,Jan,Winter,0,1,18,15,1,very cold,3 gentle breeze,3 good
2020-01-25,1,Jan,Winter,0,1,21,-10,1,cold,4 moderate breeze,1 bad
2020-01-26,-10,Jan,Winter,1,0,47,-37,0,very cold,6 strong breeze,0 very bad
2020-01-27,-4,Jan,Winter,0,1,26,-34,1,very cold,4 moderate breeze,0 very bad
2020-01-28,-10,Jan,Winter,0,1,30,-12,1,very cold,5 fresh breeze,1 bad
2020-01-29,-2,Jan,Winter,0,1,31,-31,0,very cold,5 fresh breeze,0 very bad
2020-01-30,4,Jan,Winter,0,1,16,15,1,cold,3 gentle breeze,3 good
2020-01-31,1,Jan,Winter,0,1,27,-28,0,cold,4 moderate breeze,0 very bad
2020-02-01,-3,Feb,Winter,0,1,31,-32,0,very cold,5 fresh breeze,0 very bad
2020-02-02,5,Feb,Winter,0,1,27,-35,1,cold,4 moderate breeze,0 very bad
2020-02-03,-4,Feb,Winter,0,1,33,-37,0,very cold,5 fresh breeze,0 very bad
2020-02-04,5,Feb,Winter,0,1,26,-19,1,cold,4 moderate breeze,1 bad
2020-02-05,-4,Feb,Winter,0,1,22,-33,0,very cold,4 moderate breeze,0 very bad
2020-02-06,5,Feb,Winter,0,1,28,-13,1,cold,4 moderate breeze,1 bad
2020-02-07,-1,Feb,Winter,0,1,24,-31,0,very cold,4 moderate breeze,0 very bad
2020-02-08,0,Feb,Winter,0,1,18,13,1,very cold,3 gentle breeze,3 good
2020-02-09,3,Feb,Winter,0,1,21,-23,0,cold,4 moderate breeze,1 bad
2020-02-10,-4,Feb,Winter,0,1,21,-19,0,very cold,4 moderate breeze,1 bad
2020-02-11,-5,Feb,Winter,0,1,21,-27,1,very cold,4 moderate breeze,0 very bad
2020-02-12,0,Feb,Winter,0,1,24,-19,1,very cold,4 moderate breeze,1 bad
2020-02-13,1,Feb,Winter,0,1,27,-14,1,cold,4 moderate breeze,1 bad
2020-02-14,3,Feb,Winter,0,1,19,21,1,cold,3 gentle breeze,3 good
2020-02-15,0,Feb,Winter,0,1,30,-25,1,very cold,5 fresh breeze,0 very bad
2020-02-16,5,Feb,Winter,0,1,23,-31,0,cold,4 moderate breeze,0 very bad
2020-02-17,-5,Feb,Winter,0,1,19,26,1,very cold,3 gentle breeze,3 good
2020-02-18,2,Feb,Winter,0,1,21,-28,1,cold,4 moderate breeze,0 very bad
2020-02-19,-3,Feb,Winter,0,1,28,-35,1,very cold,4 moderate breeze,0 very bad
2020-02-20,-5,Feb,Winter,0,1,15,13,1,very cold,3 gentle breeze,3 good
2020-02-21,-1,Feb,Winter,0,1,20,-24,0,very cold,3 gentle breeze,1 bad
2020-02-22,-2,Feb,Winter,0,1,14,6,1,very cold,3 gentle breeze,2 okish
2020-02-23,5,Feb,Winter,0,1,12,14,1,cold,3 gentle breeze,3 good
2020-02-24,-4,Feb,Winter,0,1,19,15,1,very cold,3 gentle breeze,3 good
2020-02-25,2,Feb,Winter,1,0,57,-43,0,cold,6 strong breeze,0 very bad
2020-02-26,4,Feb,Winter,0,1,11,19,1,cold,2 light breeze,3 good
2020-02-27,2,Feb,Winter,1,0,50,-36,1,cold,6 strong breeze,0 very bad
2020-02-28,1,Feb,Winter,0,1,23,-20,0,cold,4 moderate breeze,1 bad
2020-02-29,6,Feb,Winter,0,1,18,14,1,cold,3 gentle breeze,3 good
2020-03-01,2,Mar,Spring,0,1,20,-32,1,cold,3 gentle breeze,0 very bad
2020-03-02,8,Mar,Spring,0,1,29,-32,0,cold,5 fresh breeze,0 very bad
2020-03-03,2,Mar,Spring,0,1,20,-31,0,cold,3 gentle breeze,0 very bad
2020-03-04,4,Mar,Spring,0,1,11,2,1,cold,2 light breeze,2 okish
2020-03-05,4,Mar,Spring,0,1,24,-39,0,cold,4 moderate breeze,0 very bad
2020-03-06,4,Mar,Spring,0,1,18,21,1,cold,3 gentle breeze,3 good
2020-03-07,5,Mar,Spring,0,1,27,-22,0,cold,4 moderate breeze,1 bad
2020-03-08,6,Mar,Spring,0,1,28,-28,0,cold,4 moderate breeze,0 very bad
2020-03-09,2,Mar,Spring,0,1,16,20,1,cold,3 gentle breeze,3 good
2020-03-10,3,Mar,Spring,0,1,21,-13,0,cold,4 moderate breeze,1 bad
2020-03-11,8,Mar,Spring,0,1,34,-13,1,cold,5 fresh breeze,1 bad
2020-03-12,6,Mar,Spring,0,1,28,-23,1,cold,4 moderate breeze,1 bad
2020-03-13,6,Mar,Spring,0,1,22,-13,0,cold,4 moderate breeze,1 bad
2020-03-14,8,Mar,Spring,0,1,23,-17,0,cold,4 moderate breeze,1 bad
2020-03-15,10,Mar,Spring,0,1,20,-27,1,cold,3 gentle breeze,0 very bad
2020-03-16,9,Mar,Spring,0,1,14,17,1,cold,3 gentle breeze,3 good
2020-03-17,9,Mar,Spring,0,1,13,3,1,cold,3 gentle breeze,2 okish
2020-03-18,5,Mar,Spring,0,1,19,28,1,cold,3 gentle breeze,3 good
2020-03-19,6,Mar,Spring,0,1,21,-27,1,cold,4 moderate breeze,0 very bad
2020-03-20,7,Mar,Spring,0,1,26,-23,1,cold,4 moderate breeze,1 bad
2020-03-21,10,Mar,Spring,0,1,21,-30,0,cold,4 moderate breeze,0 very bad
2020-03-22,3,Mar,Spring,0,1,32,-27,1,cold,5 fresh breeze,0 very bad
2020-03-23,5,Mar,Spring,0,1,10,17,1,cold,2 light breeze,3 good
2020-03-24,7,Mar,Spring,0,1,31,-25,1,cold,5 fresh breeze,0 very bad
2020-03-25,7,Mar,Spring,0,1,31,-15,0,cold,5 fresh breeze,1 bad
2020-03-26,5,Mar,Spring,0,1,31,-27,1,cold,5 fresh breeze,0 very bad
2020-03-27,10,Mar,Spring,0,1,13,10,1,cold,3 gentle breeze,2 okish
2020-03-28,9,Mar,Spring,0,1,33,-14,1,cold,5 fresh breeze,1 bad
2020-03-29,8,Mar,Spring,0,1,14,9,1,cold,3 gentle breeze,2 okish
2020-03-30,5,Mar,Spring,0,1,20,-17,0,cold,3 gentle breeze,1 bad
2020-03-31,2,Mar,Spring,0,1,19,18,1,cold,3 gentle breeze,3 good
2020-04-01,12,Apr,Spring,0,1,8,8,1,warm,2 light breeze,2 okish
