date,temperature,month,seasons,rain,sunlight,wind,mood,walk,temperature_category,wind_category,mood_category
2025-03-01,9,Mar,Spring,0,1,11,22,1,cold,2 light breeze,3 good
2025-03-02,5,Mar,Spring,0,1,15,24,1,cold,3 gentle breeze,3 good
2025-03-03,6,Mar,Spring,0,1,23,-25,1,cold,4 moderate breeze,0 very bad
2025-03-04,5,Mar,Spring,0,1,27,-27,0,cold,4 moderate breeze,0 very bad
2025-03-05,7,Mar,Spring,0,1,30,-26,0,cold,5 fresh breeze,0 very bad
2025-03-06,4,Mar,Spring,0,1,29,-23,1,cold,5 fresh breeze,1 bad
2025-03-07,8,Mar,Spring,0,1,32,-33,1,cold,5 fresh breeze,0 very bad
2025-03-08,6,Mar,Spring,0,1,25,-21,0,cold,4 moderate breeze,1 bad
2025-03-09,6,Mar,Spring,0,1,24,-28,0,cold,4 moderate breeze,0 very bad
2025-03-10,9,Mar,Spring,0,1,24,-29,1,cold,4 moderate breeze,0 very bad
2025-03-11,6,Mar,Spring,0,1,26,-39,0,cold,4 moderate breeze,0 very bad
2025-03-12,2,Mar,Spring,0,1,27,-15,0,cold,4 moderate breeze,1 bad
2025-03-13,9,Mar,Spring,0,1,19,14,1,cold,3 gentle breeze,3 good
2025-03-14,6,Mar,Spring,0,1,24,-37,0,cold,4 moderate breeze,0 very bad
2025-03-15,2,Mar,Spring,0,1,26,-29,0,cold,4 moderate breeze,0 very bad
2025-03-16,7,Mar,Spring,0,1,18,13,1,cold,3 gentle breeze,3 good
2025-03-17,2,Mar,Spring,0,1,33,-33,0,cold,5 fresh breeze,0 very bad
2025-03-18,10,Mar,Spring,0,1,15,9,1,cold,3 gentle breeze,2 okish
2025-03-19,9,Mar,Spring,0,1,24,-31,0,cold,4 moderate breeze,0 very bad
2025-03-20,4,Mar,Spring,0,1,20,-30,0,cold,3 gentle breeze,0 very bad
2025-03-21,9,Mar,Spring,0,1,20,-34,0,cold,3 gentle breeze,0 very bad
2025-03-22,5,Mar,Spring,0,1,30,-29,1,cold,5 fresh breeze,0 very bad
2025-03-23,8,Mar,Spring,0,1,27,-28,0,cold,4 moderate breeze,0 very bad
2025-03-24,3,Mar,Spring,0,1,21,-26,0,cold,4 moderate breeze,0 very bad
2025-03-25,4,Mar,Spring,0,1,14,18,1,cold,3 gentle breeze,3 good
2025-03-26,9,Mar,Spring,0,1,33,-19,1,cold,5 fresh breeze,1 bad
2025-03-27,10,Mar,Spring,0,1,14,11,1,cold,3 gentle breeze,3 good
2025-03-28,5,Mar,Spring,0,1,21,-33,1,cold,4 moderate breeze,0 very bad
2025-03-29,9,Mar,Spring,0,1,14,20,1,cold,3 gentle breeze,3 good
2025-03-30,4,Mar,Spring,0,1,27,-12,1,cold,4 moderate breeze,1 bad
2025-03-31,10,Mar,Spring,0,1,18,12,1,cold,3 gentle breeze,3 good
