date,temperature,rain,sunlight,wind,mood,walk
2024-01-01,3,0,1,19,-27,0
2024-01-02,2,0,1,19,-14,1
2024-01-03,2,0,1,13,-17,0
2024-01-04,1,0,1,15,-29,1
2024-01-05,3,0,1,16,-12,1
2024-01-06,0,1,0,28,-49,0
2024-01-07,2,1,0,35,-49,0
2024-01-08,3,0,1,15,-4,1
2024-01-09,2,1,0,30,-47,0
2024-01-10,2,0,1,18,-10,1
2024-01-11,0,1,0,32,-48,0
2024-01-12,4,0,1,12,-16,0
2024-01-13,1,0,1,13,-9,1
2024-01-14,3,0,1,12,-11,0
2024-01-15,3,0,1,13,-14,1
2024-01-16,3,0,1,17,-18,0
2024-01-17,3,0,1,18,-25,0
2024-01-18,4,0,1,15,-18,1
2024-01-19,2,0,1,18,-14,1
2024-01-20,2,0,1,18,-10,1
2024-01-21,3,1,0,38,-46,0
2024-01-22,3,0,1,15,-11,1
2024-01-23,2,0,1,11,-23,1
2024-01-24,3,0,1,13,-17,1
2024-01-25,1,0,1,16,-17,1
2024-01-26,1,0,1,15,-15,1
2024-01-27,1,0,1,12,-19,1
2024-01-28,0,0,1,10,-20,1
2024-01-29,4,0,1,11,-21,0
2024-01-30,2,0,1,11,-11,0
2024-01-31,0,0,1,14,-5,0
2024-02-01,3,0,1,15,-7,1
2024-02-02,2,0,1,12,-13,1
2024-02-03,5,0,1,11,-16,0
2024-02-04,5,0,1,13,-18,0
2024-02-05,0,0,1,14,-9,0
2024-02-06,1,1,0,31,-46,0
2024-02-07,5,0,1,17,-12,0
2024-02-08,2,0,1,12,-21,1
2024-02-09,5,0,1,12,-16,1
2024-02-10,3,0,1,16,-9,1
2024-02-11,0,0,1,15,-14,1
2024-02-12,4,0,1,18,-11,0
2024-02-13,4,0,1,15,-11,0
2024-02-14,1,1,0,37,-48,0
2024-02-15,3,0,1,15,-10,0
2024-02-16,5,0,1,14,-8,0
2024-02-17,0,0,1,15,-22,0
2024-02-18,1,0,1,15,-15,1
2024-02-19,5,0,1,19,-23,1
2024-02-20,3,0,1,15,-13,0
2024-02-21,6,0,1,14,-20,0
2024-02-22,6,0,1,14,-26,1
2024-02-23,2,0,1,15,-21,0
2024-02-24,0,1,0,28,-48,0
2024-02-25,2,0,1,11,-12,1
2024-02-26,1,0,1,14,-15,0
2024-02-27,0,0,1,13,-13,1
2024-02-28,4,0,1,15,-9,1
2024-02-29,6,0,1,13,-8,0
2024-03-01,3,0,1,13,-16,1
2024-03-02,4,0,1,13,-17,0
2024-03-03,8,0,1,12,-6,1
2024-03-04,2,0,1,15,-4,1
2024-03-05,3,1,0,33,-38,1
2024-03-06,9,0,1,18,-16,1
2024-03-07,3,0,1,14,-10,1
2024-03-08,4,0,1,12,-16,1
2024-03-09,10,1,0,39,-45,0
2024-03-10,5,0,1,16,-16,0
2024-03-11,5,0,1,12,-16,0
